sh:targetClass value,sh:hasValue value,referenceCardinality,#violation,fitness,likelihood,generality,X2S,A posteriori justification
cos cell lines,green fluorescent protein,10,8,2,0.0439453125,4.41E-05,3.6,"green fluorescent protein can be expressed in cells, allowing researchers to track the location and movement of proteins within the cell"
infectious mononucleosis,epstein–barr virus,9,2,7,0.0703125,3.97E-05,,
intestinal disease,gastrointestinal tract,8,1,7,0.03125,3.53E-05,,
tunicamycin,host,8,4,4,0.2734375,3.53E-05,,
gsk3b,signal transduction,6,2,4,0.234375,2.65E-05,,
palivizumab,monoclonal antibody,6,2,4,0.234375,2.65E-05,,
world health assembly,public health,6,3,3,0.3125,2.65E-05,,
green chemistry,nanoparticle,6,3,3,0.3125,2.65E-05,,
nci-h1299,apoptotic process,5,2,3,0.3125,2.21E-05,,
serotine bat,bat,5,2,3,0.3125,2.21E-05,,
cave,bat,4,0,4,0.0625,1.76E-05,,
rousettus,bat,4,0,4,0.0625,1.76E-05,,
hyponatremia,correlation,4,1,3,0.25,1.76E-05,,
copii,endoplasmic reticulum,4,1,3,0.25,1.76E-05,,
cervix,alkyne,4,2,2,0.375,1.76E-05,,
gastrointestinal system cancer,gastrointestinal tract,4,2,2,0.375,1.76E-05,,
intravaginal administration,cytotoxic t cell,4,2,2,0.375,1.76E-05,,
dog breed,giardia lamblia,4,2,2,0.375,1.76E-05,,
hyponatremia,fever,4,2,2,0.375,1.76E-05,,
executive summary,human pregnancy,4,2,2,0.375,1.76E-05,,
stilbenoid,quinone,4,2,2,0.375,1.76E-05,,
stilbenoid,secondary metabolite,4,2,2,0.375,1.76E-05,,
mycoplasma haemofelis,cytotoxic t cell,4,2,2,0.375,1.76E-05,,
medical cannabis,head of femur,4,2,2,0.375,1.76E-05,,
ovarian follicle,mitochondrion,4,2,2,0.375,1.76E-05,,
scrapie,transmissible spongiform encephalopathy,4,2,2,0.375,1.76E-05,,
stunted growth,reverse transcription polymerase chain reaction,4,2,2,0.375,1.76E-05,,
greenwich mean time,biochemical receptor,4,2,2,0.375,1.76E-05,,
inosine,mizoribine,4,2,2,0.375,1.76E-05,,
urtica dioica,lectin,3,0,3,0.125,1.32E-05,,
surfactant protein a,lung,3,1,2,0.375,1.32E-05,,
macro domain,dna repair,3,1,2,0.375,1.32E-05,,
border gateway protocol,complementary dna,3,1,2,0.375,1.32E-05,,
balut,herpesviridae,3,1,2,0.375,1.32E-05,,
cryptococcus,yeast,3,1,2,0.375,1.32E-05,,
job satisfaction,occupational stress,3,1,2,0.375,1.32E-05,,
informant,case study,2,0,2,0.25,8.82E-06,,
informant,universal health care,2,1,1,0.5,8.82E-06,,
doconexent,pig,2,1,1,0.5,8.82E-06,,
doconexent,microbiological culture,2,1,1,0.5,8.82E-06,,
kallikreins,peptidase,2,1,1,0.5,8.82E-06,,
sftpc,surfactant protein a,2,1,1,0.5,8.82E-06,,
escherichia,bacteriophage,2,1,1,0.5,8.82E-06,,
data visualization,research,2,1,1,0.5,8.82E-06,,
data visualization,interdisciplinarity,2,1,1,0.5,8.82E-06,,
cestoda,forensic science,2,1,1,0.5,8.82E-06,,
cestoda,anaphylaxis,2,1,1,0.5,8.82E-06,,
column chromatography,secretion,2,1,1,0.5,8.82E-06,,
interferome,transcriptome,2,1,1,0.5,8.82E-06,,
interferome,transcription,2,1,1,0.5,8.82E-06,,
propionic acid,blood plasma,2,1,1,0.5,8.82E-06,,
lacrimal gland,blood plasma,2,1,1,0.5,8.82E-06,,
inorganic chemistry,nanomaterial,2,1,1,0.5,8.82E-06,,
strongylida,ruminant,2,1,1,0.5,8.82E-06,,
thermophile,treatment,2,1,1,0.5,8.82E-06,,
thoracic cavity,lung volumes,2,1,1,0.5,8.82E-06,,
goggles,polymerase chain reaction,2,1,1,0.5,8.82E-06,,
anthrax,carbon,2,1,1,0.5,8.82E-06,,
time,ministry of health,2,1,1,0.5,8.82E-06,,
spermatogenesis,large intestine,2,1,1,0.5,8.82E-06,,
mosaic,statistics,2,1,1,0.5,8.82E-06,,
about eggs,western blot,2,1,1,0.5,8.82E-06,,
streptococcus mutans,dental caries,2,1,1,0.5,8.82E-06,,
erythrocyte sedimentation rate,biomarker,2,1,1,0.5,8.82E-06,,
sampling,gastrointestinal tract,2,1,1,0.5,8.82E-06,,
chlamydia,asymptomatic,2,1,1,0.5,8.82E-06,,
phytohaemagglutinin,emerging infectious disease,2,1,1,0.5,8.82E-06,,
mononuclear phagocyte system,white blood cell,2,1,1,0.5,8.82E-06,,
branching,drug delivery,2,1,1,0.5,8.82E-06,,
duck,sweden,1,0,1,0.5,4.41E-06,,
primer,16s ribosomal rna,1,0,1,0.5,4.41E-06,,
acinus,cell nucleus,1,0,1,0.5,4.41E-06,,
salt bridge,t-lymphocytes,1,0,1,0.5,4.41E-06,,
adenoiditis,pediatrics,1,0,1,0.5,4.41E-06,,
sh3 domain,handedness,1,0,1,0.5,4.41E-06,,
sulfonamide,oxidizing agent,1,0,1,0.5,4.41E-06,,
sulfonamide,oxygen,1,0,1,0.5,4.41E-06,,
embryo,quarantine,1,0,1,0.5,4.41E-06,,
iowa,enterococcus,1,0,1,0.5,4.41E-06,,
bachelor of civil law,neurological disorder,1,0,1,0.5,4.41E-06,,
gpcr family 3 metabotropic glutamate receptor,amino acid,1,0,1,0.5,4.41E-06,,
