elite,phenotype,antecedent,consequent,referenceCardinality,numConfirmations,numViolations,likelihood,pValue,fitness,acceptance,generality,elapsedTime
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q273186> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q273186> ;  ] . ","denaturation","denaturation",33,33,0,9.48034495789435e-09,0,33,TRUE,0.000145600868310633,10
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q18247639> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q13400765> ;  ] . ","ager","respiratory tract",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,14
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q3080021> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q1460232> ;  ] . ","gene-centered view of evolution","virulence",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,3
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q3080021> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q11829360> ;  ] . ","gene-centered view of evolution","gastrointestinal tract",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,4
FALSE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q37187> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q37187> ;  ] . ","red blood cell","red blood cell",64,64,0,1.26306777088422e-15,0,64,TRUE,0.000282377441572136,4
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q3381500> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q45948> ;  ] . ","phosphatidylinositol 4-phosphate","organelle",7,4,3,0.2734375,0,4,TRUE,3.08850326719524e-05,9
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q426367> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q864491> ;  ] . ","carboxypeptidases","biological activity",13,3,10,0.034912109375,3.76923076923077,3,TRUE,5.73579178193402e-05,13
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q994559> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q864491> ;  ] . ","sulfation","biological activity",12,3,9,0.0537109375,3,3,TRUE,5.29457702947756e-05,11
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q898317> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q864491> ;  ] . ","derivative","biological activity",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,11
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q131191> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q131191> ;  ] . ","body mass index","body mass index",16,16,0,1.52587890625e-05,0,16,TRUE,7.05943603930341e-05,10
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q131191> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q208498> ;  ] . ","body mass index","confidence interval",16,5,11,0.066650390625,2.25,5,TRUE,7.05943603930341e-05,10
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q50018> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q865> ;  ] . ","international statistical classification of diseases and related health problems","taiwan",10,5,5,0.24609375,0,5,TRUE,4.41214752456463e-05,3
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q1071058> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q1415366> ;  ] . ","scale-free network","immunization",10,2,8,0.0439453125,3.6,2,TRUE,4.41214752456463e-05,9
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q14907167> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q79749> ;  ] . ","il15","blood plasma",10,2,8,0.0439453125,3.6,2,TRUE,4.41214752456463e-05,6
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q2936179> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q1415366> ;  ] . ","canarypox virus","immunization",3,2,1,0.375,0,2,TRUE,1.32364425736939e-05,3
FALSE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q50018> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q37732> ;  ] . ","international statistical classification of diseases and related health problems","demography",10,2,8,0.0439453125,3.6,2,TRUE,4.41214752456463e-05,1
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q103191> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q103191> ;  ] . ","homeostasis","homeostasis",268,268,0,3.10750681270357e-60,0,268,TRUE,0.00118245553658332,6
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q37525> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q37525> ;  ] . ","glucose","glucose",44,44,0,3.35532908429149e-11,0,44,TRUE,0.000194134491080844,8
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q15326052> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q15326052> ;  ] . ","rela","rela",24,24,0,5.96046447753906e-08,0,24,TRUE,0.000105891540589551,11
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q662016> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q10798> ;  ] . ","swine vesicular disease","pig",6,5,1,0.09375,0,5,TRUE,2.64728851473878e-05,3
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q295240> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q9368> ;  ] . ","amp-activated protein kinase","liver",5,3,2,0.3125,0,3,TRUE,2.20607376228232e-05,5
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q58184> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q9368> ;  ] . ","nephron","liver",10,2,8,0.0439453125,3.6,2,TRUE,4.41214752456463e-05,9
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q380136> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q25419> ;  ] . ","enterobacteriaceae","escherichia coli",15,8,7,0.196380615234375,0,8,TRUE,6.61822128684695e-05,3
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q2892636> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q751911> ;  ] . ","genome instability","rna virus",18,5,13,0.032684326171875,3.55555555555556,5,TRUE,7.94186554421634e-05,15
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q45833> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q45833> ;  ] . ","qinghai","qinghai",4,4,0,0.0625,0,4,TRUE,1.76485900982585e-05,15
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q3113091> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q416878> ;  ] . ","base excision repair","polymerase",4,2,2,0.375,0,2,TRUE,1.76485900982585e-05,4
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q7322423> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q3933202> ;  ] . ","ribosome biogenesis","viral replication",10,2,8,0.0439453125,3.6,2,TRUE,4.41214752456463e-05,12
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q2702796> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q188269> ;  ] . ","phytohaemagglutinin","interferon",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,5
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q2702796> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q913930> ;  ] . ","phytohaemagglutinin","tadarida brasiliensis",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,3
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q2702796> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q25241> ;  ] . ","phytohaemagglutinin","vertebrata",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,6
FALSE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q417619> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q212354> ;  ] . ","nitric oxide synthase","cytokine",40,15,25,0.0361444785336363,2.5,15,TRUE,0.000176485900982585,12
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q380546> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q380546> ;  ] . ","dna sequencing","dna sequencing",521,521,0,2.56926359977184e-115,0,521,TRUE,0.00229872886029817,4
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q740578> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q380546> ;  ] . ","sequence assembly","dna sequencing",10,4,6,0.205078125,0.4,4,TRUE,4.41214752456463e-05,19
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q288928> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q380546> ;  ] . ","agnosticism","dna sequencing",6,4,2,0.234375,0,4,TRUE,2.64728851473878e-05,8
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q740578> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q423163> ;  ] . ","sequence assembly","major histocompatibility complex",10,2,8,0.0439453125,3.6,2,TRUE,4.41214752456463e-05,9
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q1192422> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q380546> ;  ] . ","pipeline","dna sequencing",4,2,2,0.375,0,2,TRUE,1.76485900982585e-05,8
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q1718851> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q380546> ;  ] . ","teschovirus","dna sequencing",4,2,2,0.375,0,2,TRUE,1.76485900982585e-05,5
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q416896> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q380546> ;  ] . ","metallothionein","dna sequencing",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,3
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q503629> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q177911> ;  ] . ","osteonecrosis","steroid",44,22,22,0.120285623372755,0,22,TRUE,0.000194134491080844,8
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q917177> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q917177> ;  ] . ","osteoblast","osteoblast",12,12,0,0.000244140625,0,12,TRUE,5.29457702947756e-05,6
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q417222> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q177911> ;  ] . ","methylprednisolone","steroid",16,10,6,0.1221923828125,0,10,TRUE,7.05943603930341e-05,5
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q917177> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q503629> ;  ] . ","osteoblast","osteonecrosis",12,8,4,0.120849609375,0,8,TRUE,5.29457702947756e-05,11
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q417222> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q503629> ;  ] . ","methylprednisolone","osteonecrosis",16,8,8,0.196380615234375,0,8,TRUE,7.05943603930341e-05,12
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q917177> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q177911> ;  ] . ","osteoblast","steroid",12,6,6,0.2255859375,0,6,TRUE,5.29457702947756e-05,5
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q417222> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q988343> ;  ] . ","methylprednisolone","blood vessel",16,5,11,0.066650390625,2.25,5,TRUE,7.05943603930341e-05,5
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q917177> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q952019> ;  ] . ","osteoblast","bone remodeling",12,4,8,0.120849609375,1.33333333333333,4,TRUE,5.29457702947756e-05,7
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q169525> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q899107> ;  ] . ","protein engineering","ligand",13,3,10,0.034912109375,3.76923076923077,3,TRUE,5.73579178193402e-05,11
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q1660191> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q15787> ;  ] . ","immunosenescence","hiv",13,3,10,0.034912109375,3.76923076923077,3,TRUE,5.73579178193402e-05,14
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q917177> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q417222> ;  ] . ","osteoblast","methylprednisolone",12,3,9,0.0537109375,3,3,TRUE,5.29457702947756e-05,5
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q917177> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q546523> ;  ] . ","osteoblast","bone marrow",12,3,9,0.0537109375,3,3,TRUE,5.29457702947756e-05,4
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q6444827> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q158856> ;  ] . ","kunjin virus","west nile virus",7,6,1,0.0546875,0,6,TRUE,3.08850326719524e-05,3
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q18046012> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q751911> ;  ] . ","dhx58","rna virus",7,6,1,0.0546875,0,6,TRUE,3.08850326719524e-05,5
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q12725> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q29954> ;  ] . ","electricity","power consumption",10,3,7,0.1171875,1.6,3,TRUE,4.41214752456463e-05,3
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q7316190> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q162272> ;  ] . ","reston virus","viral hemorrhagic fever",6,4,2,0.234375,0,4,TRUE,2.64728851473878e-05,31
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q599966> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q233345> ;  ] . ","peyer's patch","ileum",12,4,8,0.120849609375,1.33333333333333,4,TRUE,5.29457702947756e-05,10
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q599966> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q868506> ;  ] . ","peyer's patch","intestinal villus",12,3,9,0.0537109375,3,3,TRUE,5.29457702947756e-05,21
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q41710> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q383126> ;  ] . ","ethnic group","chronic condition",10,2,8,0.0439453125,3.6,2,TRUE,4.41214752456463e-05,7
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q41710> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q156318> ;  ] . ","ethnic group","etiology",10,2,8,0.0439453125,3.6,2,TRUE,4.41214752456463e-05,5
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q1030> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q123452> ;  ] . ","namibia","endemism",2,1,1,0.5,0,1,TRUE,8.82429504912926e-06,4
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q191341> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q7886> ;  ] . ","pulmonary alveolus","lung",113,76,37,8.965211579518e-05,0,76,TRUE,0.000498572670275803,10
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q152234> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q7886> ;  ] . ","oedema","lung",33,14,19,0.0950993625720327,0.757575757575758,14,TRUE,0.000145600868310633,4
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q152234> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q191341> ;  ] . ","oedema","pulmonary alveolus",33,11,22,0.0222063173179855,3.66666666666667,11,TRUE,0.000145600868310633,7
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q27205> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q7886> ;  ] . ","fibrin","lung",12,5,7,0.193359375,0.333333333333333,5,TRUE,5.29457702947756e-05,7
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q14904613> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q7886> ;  ] . ","tgfb1","lung",18,5,13,0.032684326171875,3.55555555555556,5,TRUE,7.94186554421634e-05,7
TRUE," a sh:NodeShape ; sh:targetClass <http://www.wikidata.org/entity/Q310656> ;  sh:property [  sh:path rdf:type ; sh:hasValue <http://www.wikidata.org/entity/Q7886> ;  ] . ","pasteurella multocida","lung",17,5,12,0.047210693359375,2.88235294117647,5,TRUE,7.50065079175987e-05,4
